Airline,Source,Destination,Route,Duration,Total_Stops,month,day in a month,Dep_hour,Dep_minute,Arrival_Hour,Arrival_Minute
IndiGo,Delhi,Cochin,DEL → HYD → COK,515,1,6,9,7,35,16,10
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,710,1,5,21,13,5,0,55
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1655,1,5,21,20,0,23,35
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,505,2,6,3,20,0,4,25
Air India,Delhi,Cochin,DEL → MAA → COK,1255,1,4,3,12,30,9,25
IndiGo,Delhi,Cochin,DEL → BLR → COK,290,1,6,24,15,10,20,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,490,1,6,9,12,50,21,0
SpiceJet,Kolkata,Banglore,CCU → BLR,140,0,4,3,22,20,0,40
Jet Airways,Delhi,Cochin,DEL → BDQ → BOM → COK,1465,2,3,21,18,25,18,50
GoAir,Banglore,Delhi,BLR → DEL,170,0,6,27,11,40,14,30
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,5,12,8,25,20,45
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,735,1,5,24,20,0,8,15
Air India,Kolkata,Banglore,CCU → JAI → BOM → BLR,1415,2,5,9,8,20,7,55
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,995,2,6,27,20,0,12,35
IndiGo,Banglore,New Delhi,BLR → DEL,170,0,3,3,18,55,21,45
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1545,1,5,12,16,30,18,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1570,1,3,6,2,15,4,25
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1730,1,5,1,9,35,14,25
IndiGo,Banglore,New Delhi,BLR → DEL,165,0,3,24,0,40,3,25
Air India,Kolkata,Banglore,CCU → BBI → BLR,1515,1,6,9,12,0,13,15
IndiGo,Delhi,Cochin,DEL → HYD → COK,560,1,5,9,6,50,16,10
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,6,12,8,45,13,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,925,1,5,27,13,0,4,25
Air India,Mumbai,Hyderabad,BOM → HYD,90,0,3,3,13,55,15,25
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,5,21,5,55,8,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,550,1,3,27,19,15,4,25
IndiGo,Banglore,Delhi,BLR → DEL,165,0,5,27,1,30,4,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1355,1,4,3,14,0,12,35
Air India,Delhi,Cochin,DEL → COK,185,0,4,18,18,5,21,10
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,690,1,6,9,9,35,21,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,570,1,6,27,11,30,21,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,5,6,21,10,9,20
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1055,1,6,12,16,30,10,5
IndiGo,Delhi,Cochin,DEL → BOM → COK,305,1,4,3,20,25,1,30
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1550,1,5,21,17,0,18,50
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1200,1,5,6,14,5,10,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,780,1,5,21,8,0,21,0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1105,1,6,1,10,0,4,25
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,3,27,19,35,21,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,570,1,5,15,16,0,1,30
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,5,12,14,45,17,5
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,6,24,8,45,13,15
IndiGo,Delhi,Cochin,DEL → LKO → COK,345,1,6,27,21,50,3,35
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1450,1,6,6,9,35,9,45
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,6,3,15,30,18,5
Air Asia,Banglore,Delhi,BLR → DEL,165,0,6,12,11,10,13,55
IndiGo,Banglore,New Delhi,BLR → HYD → DEL,295,1,3,3,12,10,17,5
Air India,Delhi,Cochin,DEL → TRV → COK,1535,1,3,27,5,15,6,50
IndiGo,Delhi,Cochin,DEL → HYD → COK,380,1,6,24,16,10,22,30
Jet Airways,Banglore,Delhi,BLR → DEL,185,0,6,27,18,55,22,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1120,1,3,12,20,35,15,15
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,6,27,9,45,12,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,730,1,6,12,16,30,4,40
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1165,1,6,24,9,0,4,25
Air India,Banglore,New Delhi,BLR → DEL,170,0,3,18,13,20,16,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,505,1,3,27,7,5,15,30
GoAir,Kolkata,Banglore,CCU → BOM → BLR,555,1,3,24,22,25,7,40
Air India,Banglore,Delhi,BLR → DEL,170,0,6,3,21,5,23,55
IndiGo,Delhi,Cochin,DEL → COK,195,0,4,24,5,35,8,50
Air India,Delhi,Cochin,DEL → COK,170,0,5,18,5,10,8,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,740,1,6,3,6,40,19,0
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,4,18,15,15,18,10
IndiGo,Delhi,Cochin,DEL → BOM → COK,575,1,3,27,16,0,1,35
Vistara,Banglore,Delhi,BLR → DEL,155,0,6,27,17,0,19,35
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,570,1,5,21,14,5,23,35
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,5,18,23,5,4,25
IndiGo,Banglore,Delhi,BLR → DEL,175,0,5,12,0,30,3,25
SpiceJet,Delhi,Cochin,DEL → MAA → COK,315,1,6,6,6,5,11,20
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,545,1,6,6,7,5,16,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,645,1,6,3,8,30,19,15
IndiGo,Delhi,Cochin,DEL → BLR → COK,295,1,6,1,5,10,10,5
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,6,24,8,45,10,15
Vistara,Kolkata,Banglore,CCU → DEL → BLR,700,1,6,9,7,10,18,50
IndiGo,Banglore,Delhi,BLR → DEL,165,0,6,1,1,30,4,15
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,5,12,15,15,18,10
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,600,1,6,9,9,0,19,0
Air India,Banglore,Delhi,BLR → DEL,165,0,4,12,10,0,12,45
Air India,Delhi,Cochin,DEL → BOM → COK,615,1,6,12,9,0,19,15
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,3,18,7,10,8,35
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,555,1,5,9,10,0,19,15
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,6,9,5,30,4,25
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1730,2,6,6,14,25,19,15
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2245,2,3,3,5,25,18,50
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4,27,23,30,2,20
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,5,21,5,45,7,15
Jet Airways,Mumbai,Hyderabad,BOM → HYD,90,0,5,27,10,20,11,50
Air India,Kolkata,Banglore,CCU → BOM → BLR,1540,1,3,24,16,50,18,30
Air India,Kolkata,Banglore,CCU → BLR,155,0,4,12,20,45,23,20
Air India,Delhi,Cochin,DEL → BOM → COK,375,1,5,18,13,0,19,15
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1050,1,3,9,2,15,19,45
IndiGo,Delhi,Cochin,DEL → LKO → COK,345,1,5,1,21,50,3,35
Air Asia,Kolkata,Banglore,CCU → BLR,155,0,5,1,10,20,12,55
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1530,1,3,6,18,15,19,45
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,835,1,5,18,7,5,21,0
IndiGo,Banglore,New Delhi,BLR → DEL,175,0,3,15,18,25,21,20
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,615,1,6,24,8,45,19,0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,520,1,3,18,11,40,20,20
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,330,1,6,6,6,30,12,0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,6,9,9,0,21,0
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,6,12,9,45,12,0
Vistara,Chennai,Kolkata,MAA → CCU,135,0,3,18,7,5,9,20
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4,24,23,30,2,20
Jet Airways,Delhi,Cochin,DEL → BOM → COK,550,1,6,9,19,15,4,25
IndiGo,Delhi,Cochin,DEL → BOM → COK,625,1,5,15,10,35,21,0
Vistara,Chennai,Kolkata,MAA → CCU,140,0,6,27,17,45,20,5
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,270,1,6,6,8,45,13,15
Vistara,Delhi,Cochin,DEL → COK,190,0,3,3,6,0,9,10
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1410,2,6,1,19,45,19,15
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1640,1,5,24,16,30,19,50
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,755,1,3,27,9,45,22,20
Air India,Delhi,Cochin,DEL → BOM → COK,1455,1,3,21,19,0,19,15
SpiceJet,Mumbai,Hyderabad,BOM → HYD,80,0,3,21,13,10,14,30
Air India,Banglore,Delhi,BLR → DEL,165,0,5,9,10,0,12,45
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,6,21,7,10,10,10
Jet Airways,Delhi,Cochin,DEL → BOM → COK,660,1,6,6,8,0,19,0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,810,2,6,3,5,30,19,0
IndiGo,Banglore,Delhi,BLR → DEL,170,0,6,3,22,10,1,0
GoAir,Banglore,New Delhi,BLR → DEL,175,0,3,3,20,55,23,50
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,3,18,9,35,12,20
IndiGo,Delhi,Cochin,DEL → HYD → COK,675,1,3,9,4,55,16,10
Air India,Kolkata,Banglore,CCU → IXR → DEL → BLR,875,2,5,21,5,50,20,25
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,835,1,3,21,11,40,1,35
IndiGo,Delhi,Cochin,DEL → BOM → COK,845,1,6,24,11,25,1,30
Air India,Kolkata,Banglore,CCU → BOM → BLR,905,1,6,12,16,50,7,55
Air India,Chennai,Kolkata,MAA → CCU,135,0,3,1,11,40,13,55
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,900,1,3,6,14,5,5,5
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,775,1,5,1,21,10,10,5
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,540,1,6,12,7,10,16,10
Air India,Delhi,Cochin,DEL → BOM → COK,735,1,6,1,7,0,19,15
Multiple carriers,Delhi,Cochin,DEL → IXU → BOM → COK,460,2,6,6,17,50,1,30
Air India,Delhi,Cochin,DEL → MAA → COK,1640,1,4,9,6,5,9,25
IndiGo,Mumbai,Hyderabad,BOM → HYD,85,0,3,15,21,20,22,45
Air India,Mumbai,Hyderabad,BOM → HYD,80,0,3,27,6,20,7,40
SpiceJet,Kolkata,Banglore,CCU → IXB → BLR,330,1,6,12,15,55,21,25
Air India,Delhi,Cochin,DEL → BLR → COK,705,1,3,9,20,30,8,15
IndiGo,Delhi,Cochin,DEL → COK,195,0,6,24,5,35,8,50
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1495,1,6,12,18,55,19,50
Air India,Delhi,Cochin,DEL → MAA → COK,1640,1,3,3,6,5,9,25
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,5,24,11,10,14,5
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1025,1,6,6,18,55,12,0
IndiGo,Kolkata,Banglore,CCU → BLR,160,0,5,6,21,25,0,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,480,1,5,27,17,30,1,30
IndiGo,Banglore,Delhi,BLR → DEL,180,0,5,12,16,55,19,55
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1655,1,6,24,9,0,12,35
Jet Airways,Delhi,Cochin,DEL → BOM → COK,450,1,5,27,20,55,4,25
Air India,Banglore,New Delhi,BLR → BOM → JDH → DEL,1375,2,3,12,17,25,16,20
IndiGo,Delhi,Cochin,DEL → BOM → COK,515,1,3,3,4,45,13,20
Air India,Delhi,Cochin,DEL → UDR → BOM → COK,1795,2,3,21,13,20,19,15
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1335,1,6,6,20,0,18,15
SpiceJet,Mumbai,Hyderabad,BOM → HYD,80,0,3,6,5,45,7,5
IndiGo,Kolkata,Banglore,CCU → BLR,160,0,5,18,21,25,0,5
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,5,6,8,20,11,20
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,730,1,3,21,7,0,19,10
SpiceJet,Chennai,Kolkata,MAA → CCU,155,0,3,18,9,30,12,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,705,1,6,6,7,30,19,15
Vistara,Banglore,Delhi,BLR → DEL,155,0,5,9,17,0,19,35
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,5,3,2,35,4,5
Vistara,Banglore,Delhi,BLR → DEL,160,0,6,27,7,0,9,40
Air Asia,Kolkata,Banglore,CCU → BLR,155,0,5,12,10,20,12,55
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,6,6,5,30,4,25
IndiGo,Delhi,Cochin,DEL → HYD → MAA → COK,880,2,3,9,6,40,21,20
Jet Airways,Delhi,Cochin,DEL → BOM → COK,925,1,3,27,13,0,4,25
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,435,1,3,15,8,0,15,15
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,1210,2,6,6,13,15,9,25
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,1245,2,6,6,10,55,7,40
SpiceJet,Kolkata,Banglore,CCU → BLR,150,0,4,24,17,10,19,40
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1430,1,5,21,20,0,19,50
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1620,1,6,3,16,0,19,0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,330,1,6,12,6,30,12,0
IndiGo,Delhi,Cochin,DEL → BOM → COK,710,1,3,3,9,10,21,0
IndiGo,Chennai,Kolkata,MAA → CCU,135,0,3,6,13,20,15,35
Air India,Delhi,Cochin,DEL → JAI → BOM → COK,1470,2,6,6,18,45,19,15
SpiceJet,Chennai,Kolkata,MAA → CCU,140,0,5,21,17,45,20,5
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,390,1,6,27,19,0,1,30
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1225,1,6,1,8,0,4,25
